Cities,Latitudinal Coordinates,Temperature,Humidity,WindSpeed,Sky Condition,Cloud Percentage
maryville,35.76,54.88,71,4.89,overcast clouds,90
ribeira grande,38.52,64.4,52,17.22,scattered clouds,40
qaqortoq,60.72,33.8,80,2.24,mist,75
tabarqah,-7.01,71.49,90,3.89,light rain,100
mwene-ditu,-18.48,68.22,59,11.41,scattered clouds,34
arica,-54.81,34.57,92,6.93,snow,75
ushuaia,40.36,71.96,62,11.99,scattered clouds,36
belmonte,-53.16,41.0,60,29.97,scattered clouds,40
punta arenas,55.74,32.0,78,21.92,scattered clouds,40
thompson,70.62,20.73,95,8.83,light snow,90
chokurdakh,-8.65,78.8,94,4.7,scattered clouds,40
denpasar,37.31,69.31,74,5.01,broken clouds,76
aljezur,-42.48,50.0,71,5.82,light intensity shower rain,75
castro,-19.55,74.37,88,17.47,overcast clouds,100
isangel,-33.64,44.01,60,5.42,clear sky,0
busselton,41.42,72.03,42,9.35,scattered clouds,49
saldanha,50.1,35.6,69,12.75,light intensity drizzle,75
sioux lookout,43.33,31.71,69,3.78,clear sky,0
dongzhen,19.71,70.23,73,6.93,clear sky,1
hilo,-30.17,74.01,73,14.4,clear sky,0
cidreira,45.36,62.17,51,5.82,clear sky,1
bengkulu,23.07,74.01,70,2.42,clear sky,0
saint-philippe,-2.57,83.19,73,4.32,broken clouds,80
udaipura,-5.56,59.61,92,17.32,few clouds,16
kavieng,-6.09,87.67,52,25.28,scattered clouds,40
sechura,-33.93,64.65,68,21.92,few clouds,20
nisia floresta,-33.69,71.31,88,7.73,moderate rain,100
illoqqortoormiut,50.14,50.79,79,9.9,scattered clouds,48
cape town,-14.92,77.0,41,6.93,scattered clouds,40
chuy,-42.88,36.18,86,6.93,few clouds,21
aleksandrov gay,25.91,65.3,42,20.8,overcast clouds,90
lubango,-23.58,62.85,28,6.23,clear sky,0
hobart,66.56,35.31,98,4.68,light rain,100
brownsville,39.31,66.49,40,8.05,few clouds,20
bluff,39.95,55.72,32,21.92,clear sky,1
aksarka,-23.95,84.2,20,6.93,clear sky,0
port elizabeth,15.34,70.23,93,2.58,overcast clouds,100
kodiak,-29.95,59.0,77,9.17,broken clouds,75
phalaborwa,78.22,21.2,73,4.7,few clouds,20
vaini,49.98,34.77,55,1.04,clear sky,0
coquimbo,69.49,23.97,92,16.8,light snow,100
longyearbyen,-34.42,64.99,77,1.99,scattered clouds,39
ulaangom,-44.49,46.0,97,4.0,overcast clouds,100
talnakh,47.66,53.58,58,11.41,broken clouds,75
hermanus,38.02,77.0,23,3.36,clear sky,0
pareora,3.07,84.99,70,10.61,clear sky,5
torbay,21.37,73.4,40,5.82,broken clouds,75
goksun,-23.12,68.61,70,14.48,few clouds,16
butaritari,47.83,39.63,37,5.79,clear sky,0
nochistlan,39.62,62.6,67,4.51,overcast clouds,90
karaul,-37.83,50.0,87,6.93,broken clouds,83
rikitea,-30.97,69.87,7,14.82,scattered clouds,36
altay,-46.19,41.0,94,5.01,broken clouds,66
vardo,-33.59,63.0,89,1.99,overcast clouds,95
mount gambier,10.09,73.81,78,5.82,broken clouds,75
carnarvon,-33.21,62.49,23,20.37,overcast clouds,99
mataura,22.89,81.3,74,11.41,overcast clouds,90
port alfred,-0.74,72.54,60,8.05,few clouds,20
taolanaro,-41.87,50.0,71,5.82,light intensity shower rain,75
miramar,53.63,45.21,94,5.43,light rain,100
jamestown,-39.94,46.99,92,1.86,overcast clouds,99
cabo san lucas,13.5,71.13,97,4.34,scattered clouds,43
puerto ayora,-10.46,77.07,84,5.28,overcast clouds,100
ancud,-26.65,69.8,56,21.92,clear sky,0
sterlitamak,43.97,35.08,38,2.47,clear sky,1
waipawa,32.47,60.53,16,6.93,scattered clouds,40
lumphat,-38.37,55.47,83,16.83,scattered clouds,47
kirakira,-32.03,79.81,78,13.87,scattered clouds,40
sentyabrskiy,31.68,84.2,28,9.17,clear sky,0
luderitz,6.8,86.99,70,11.41,broken clouds,75
saint anthony,58.88,48.81,89,15.7,moderate rain,100
sweetwater,77.48,22.71,75,6.8,overcast clouds,99
tolaga bay,68.75,29.37,76,7.05,overcast clouds,100
vaitupu,36.62,41.07,79,1.73,broken clouds,66
rio grande,31.58,73.4,17,6.93,clear sky,0
turayf,-3.75,68.25,75,3.6,broken clouds,79
georgetown,22.95,68.0,56,11.41,broken clouds,75
gryazovets,35.17,75.2,78,6.93,few clouds,20
qaanaaq,63.44,42.8,87,14.99,broken clouds,75
cherskiy,69.44,32.0,86,12.75,light snow,90
xining,35.73,72.03,88,10.29,broken clouds,75
tabiauea,40.8,50.18,61,6.93,light rain,1
mehriz,42.65,60.3,59,2.61,broken clouds,75
payo,-6.89,75.45,78,6.66,overcast clouds,97
barentsburg,53.14,45.93,73,10.32,light rain,100
los zacatones,28.66,71.1,57,3.36,broken clouds,75
nador,55.82,51.48,87,20.13,overcast clouds,90
vestmannaeyjar,71.98,24.15,91,9.4,overcast clouds,100
tuktoyaktuk,48.0,58.33,88,12.75,overcast clouds,90
hasaki,39.5,52.41,35,6.03,clear sky,5
eureka,-38.31,72.03,67,11.84,light rain,47
albany,-34.53,63.88,59,9.17,overcast clouds,85
pekalongan,-0.6,79.77,79,8.07,overcast clouds,100
svetlogorsk,41.14,59.76,63,6.93,overcast clouds,90
los llanos de aridane,-42.78,36.19,86,6.93,scattered clouds,27
vostochnyy,71.64,14.25,88,6.12,broken clouds,51
khatanga,24.52,72.21,89,1.31,clear sky,0
quimper,45.51,35.02,95,12.75,light snow,90
wuda,45.6,77.27,54,4.7,clear sky,0
barrow,69.3,15.51,91,7.24,light snow,100
bredasdorp,49.18,64.96,72,13.87,few clouds,20
amderma,-6.5,72.75,82,1.65,overcast clouds,87
hithadhoo,-3.47,65.73,94,2.22,overcast clouds,92
westport,62.71,39.63,87,7.55,broken clouds,81
new norfolk,22.08,77.54,78,14.99,overcast clouds,90
tiksi,65.28,33.8,95,19.46,light snow,90
rajnagar,-26.79,104.79,20,19.17,few clouds,24
north branch,8.96,62.6,67,6.93,scattered clouds,40
souillac,-43.03,36.18,86,6.93,few clouds,21
deputatskiy,65.61,29.73,95,6.96,light snow,64
mondeville,59.7,48.47,87,17.9,light intensity shower rain,90
attawapiskat,38.28,73.29,73,4.7,few clouds,20
kroya,69.22,30.2,80,9.17,shower rain,40
curup,-33.02,64.4,88,13.87,broken clouds,75
troitsko-pechorsk,-17.03,61.95,69,6.59,clear sky,9
kapaa,6.12,82.65,76,5.82,light rain,0
norman wells,55.34,44.6,100,5.82,broken clouds,75
presidencia roque saenz pena,63.05,35.67,72,8.7,clear sky,1
lebu,-22.97,83.34,61,20.8,clear sky,0
margate,70.47,28.4,86,4.7,broken clouds,75
